Req_ID,Subsystem,Requirement,Priority,Target_or_Limit,Verification_Method,Design_Artifact,Test_Artifact,Status,Owner,Notes
PRC-0014,Program,"Exclude licensed PDK/IP, foundry decks, secrets, personal physiological data and unlicensed paper PDFs from the public repository.",MUST,Every commit,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0015,Program,"Maintain current branch, chunk, blocked work, validation result and exact next action in project state.",MUST,Every chunk,State audit,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0016,Program,"Create and maintain golden models for energy, biosignal/optical/thermal/electrochemical noise, data rate, memory and timestamps before implementing applicable blocks.",MUST,Applicable design chunks,Model regression,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0017,Program,"Run public CI checks for model regressions, requirements integrity, RTL lint and simulation as tool access allows.",SHOULD,Checks and exclusions documented,CI review,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0018,Program,"Record risk owner, impact, mitigation and next evidence for high-risk system items.",MUST,Every active high risk,Risk audit,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0019,Program,"For each major review record agenda, inputs, findings, actions, gate result and closure evidence.",MUST,Every formal review,Review log audit,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0020,Program,Keep selected assumptions and foundry/IP values marked TBD until confirmed by vendor/PDK evidence.,MUST,Every open assumption,Review,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0021,Program,"Classify each numeric assertion as target, limit, placeholder or TBD until verified with units and operating conditions.",MUST,Every numeric candidate,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0022,Program,"Cover analog corners, startup, overload, shutdown, mismatch and post-layout effects as applicable before design signoff.",MUST,Each signed-off analog block,Simulation+review,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0023,Program,"Cover digital lint, simulation, reset/CDC and appropriate assertions/coverage before design signoff.",MUST,Each signed-off digital block,Simulation+review,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0024,Program,"Complete SRR, SAR, PDR, CDR, prelayout, postlayout and tapeout reviews with findings and closure logs at their relevant gates.",MUST,Seven named reviews,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0025,Program,Do not proceed to tapeout without independent foundry/IP and DRC/LVS/ERC/PEX/STA/EM-IR/reliability closure.,MUST,Tapeout candidate,Independent signoff,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
SYS-0001,System,Bound all operating modes by body-connected safety and valid measurement rather than reducing those constraints to save area or power.,MUST,Every implemented mode,Review+test,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-005"
SYS-0002,System,"Select a die/package partition by quantitative evaluation of noise, energy, yield, RF, MEMS, NRE and process fit.",SHOULD,Partition TBD,Trade study,specs/system/,verification/system/,CANDIDATE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-006"
SYS-0003,System,Evaluate a heterogeneous SiP as one externally usable physiological module.,SHOULD,Partition TBD,Trade study,specs/system/,verification/system/,CANDIDATE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-002"
SYS-0004,System,Keep nRF-class MCU/radio external to custom Gen-1 silicon unless a reviewed trade study supports integration.,SHOULD,Gen-1 concept,Trade study,specs/system/,verification/system/,CANDIDATE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-002"
SYS-0005,System,Retain a specialized MEMS IMU rather than fabricating its mechanics on the custom analog die.,SHOULD,MEMS specialized,Trade study,specs/system/,verification/system/,CANDIDATE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-002"
SYS-0006,System,"Support synchronized biopotential, electrodermal, electrochemical, optical, inertial, acoustic and thermal research interfaces where feasible.",SHOULD,Modality set TBD,Mode matrix,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-001"
SYS-0007,System,Distinguish electrical capability from validated biomarker accuracy in all sensor claims.,MUST,Every biomarker,Validation review,specs/system/,verification/system/,PROCESS_ACTIVE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-005"
SYS-0008,System,Provide research/raw data access and calibration metadata for proposed multimodal inference.,MUST,Mode TBD,Interface review+test,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-001"
SYS-0009,System,"Enable sleep, cardiovascular, daily health, biochemical, optical, audio and raw research modes according to product priority.",SHOULD,Mode precedence TBD,Mode matrix,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-001"
SYS-0010,System,"Quantify and verify every supported simultaneous sensor combination against power, peak current, ADC, pin and data constraints.",MUST,Each approved mode,Model+test,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-003"
SYS-0011,System,Preserve a ten-percent usable custom-die core area reserve at architecture freeze.,SHOULD,TARGET ≥10%; denominator TBD,Floorplan audit,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0012,System,Prevent unreviewed consumption of the approved future area reserve.,MUST,Once reserve approved,Change-control audit,specs/system/,verification/system/,CANDIDATE,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0013,System,"Reserve spare package routing, power/ground contacts, signals and thermal headroom when feasible.",SHOULD,Counts TBD,Package review,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0014,System,"Reserve configurable analog inputs, electrode-capable inputs and excitation DAC outputs when feasible.",SHOULD,TARGET 2–4 analog inputs; 2 electrode inputs; 2 DAC outputs,Pin/area audit,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0015,System,Retain synthesized digital area reserve at subsystem signoff.,SHOULD,TARGET ≥10%,Synthesis report,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0016,System,Retain worst-concurrency average memory bandwidth reserve.,SHOULD,TARGET ≥10%,Bandwidth model,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-003"
SYS-0017,System,"Reserve interrupt IDs, register addresses and DMA extensibility.",SHOULD,Counts TBD,Register audit,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0018,System,"Minimize energy per sample, event and moved bit within validated signal and safety bounds.",SHOULD,Pareto comparison,Trade study,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-003"
SYS-0019,System,"Minimize die/package footprint, height and external component count subject to yield, thermal and RF constraints.",SHOULD,TARGET package 6–8 mm × 6–8 mm; height ≤1.2 mm aspirational,Package trade study,specs/system/,verification/system/,NEEDS_DEFINITION,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-007"
SYS-0020,System,Treat medical/clinical claims such as cuffless BP as research only until validated against suitable reference methods.,MUST,No clinical claim by hardware alone,Study review,specs/system/,verification/system/,RESEARCH_ONLY,System architecture,"source=MASTER_SPEC.md §1–6,36,37,56–58; issue=OI-005"
BIO-0001,Biopotential,Provide truly simultaneous differential EEG/ECG acquisition with independently specified signal path quality.,SHOULD,TARGET 8 channels,Architecture and concurrency model,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-007
BIO-0002,Biopotential,Allow each selected channel to configure an EEG or ECG profile and electrode routing.,SHOULD,EEG/ECG; EMG future,Interface test,specs/biosignal/,verification/unit/bio/,CANDIDATE,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0003,Biopotential,Maintain high effective electrode input impedance over the measurement band.,SHOULD,TARGET >1 GΩ; measurement frequency TBD,Circuit analysis+test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0004,Biopotential,Limit input bias and pad/mux leakage under dry-electrode source impedance.,SHOULD,Limit TBD,Leakage measurement,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0005,Biopotential,Accept differential physiological inputs with specified artifacts and electrode common mode.,SHOULD,Signal/full scale TBD,Saturation test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0006,Biopotential,Tolerate electrode DC offset without losing specified signal quality.,SHOULD,TARGET ±300 mV or better,Corner simulation+test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0007,Biopotential,Reject common-mode interference under a specified source-imbalance and frequency test.,SHOULD,TARGET CMRR >100 dB; test conditions TBD,Simulation+bench test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0008,Biopotential,Meet integrated input-referred EEG noise over a stated band and with a stated source impedance.,SHOULD,TARGET ≤0.5–1 µVrms; bandwidth TBD,Integrated noise simulation+bench,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0009,Biopotential,Support configurable end-to-end gain without excessive noise or saturation.,SHOULD,TARGET equivalent ×1–×128,Gain/linearity test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0010,Biopotential,Provide EEG passband and configurable high/low-pass behavior with anti-aliasing.,SHOULD,TARGET ≈0.1–250 Hz,Frequency/noise test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0011,Biopotential,Provide ECG passband and configurable high/low-pass behavior with anti-aliasing.,SHOULD,TARGET ≈0.05–500 Hz,Frequency/noise test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0012,Biopotential,Explore extended biopotential research bandwidth if power and noise permit.,MAY,TARGET ≈1 kHz,Analysis+test,specs/biosignal/,verification/unit/bio/,CANDIDATE,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-001
BIO-0013,Biopotential,Provide configurable per-channel output sampling options.,SHOULD,TARGET 250/500/1000/2000/4000 SPS,Timing test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-003
BIO-0014,Biopotential,Provide higher-rate biopotential research sampling if power permits.,MAY,TARGET 8000 SPS,Timing+power test,specs/biosignal/,verification/unit/bio/,CANDIDATE,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-003
BIO-0015,Biopotential,"Specify converter performance by input noise, SNR, SNDR, ENOB and bandwidth instead of nominal word length.",SHOULD,TARGET 24-bit class label only,Converter characterization,specs/biosignal/,verification/unit/bio/,CANDIDATE,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0016,Biopotential,Detect saturation and recover within a specified interval.,SHOULD,Recovery time TBD,Overload recovery test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0017,Biopotential,Detect electrode open/contact impedance and report measurement state.,SHOULD,Sensitivity/limits TBD,Electrode emulator test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0018,Biopotential,"Evaluate low-leakage electrode switching with ESD, capacitance and charge-injection error.",SHOULD,Crosspoint feasibility TBD,Switch/pad simulation,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0019,Biopotential,Specify biopotential PSRR under analog rail and DC/DC spur conditions.,SHOULD,Frequency and limit TBD,Noise injection test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0020,Biopotential,"Specify differential input dynamic range, overload recovery and sample quality flag behavior.",SHOULD,Input and latency limits TBD,Electrode emulator test,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-004
BIO-0021,Biopotential,Limit body electrode currents in hardware in every reset and firmware state.,MUST,Safe current limit TBD by qualified review,Fault injection+independent safety review,specs/biosignal/,verification/unit/bio/,NEEDS_DEFINITION,Analog biosignal,source=MASTER_SPEC.md §7; issue=OI-005
EDA-0001,EDA/BioZ,Provide independently configurable electrodermal/bioimpedance channels.,SHOULD,TARGET 4 channels,Pin and ADC concurrency analysis,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-007
EDA-0002,EDA/BioZ,Measure DC conductance/EDA and electrode/contact impedance.,SHOULD,Conductance range TBD,Electrode emulator test,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
EDA-0003,EDA/BioZ,Support programmable AC bioimpedance excitation and synchronous receive.,SHOULD,Frequency/amplitude/phase programmable; limits TBD,Loopback+phantom test,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-005
EDA-0004,EDA/BioZ,Evaluate excitation frequency coverage against tissue/electrode models and power.,SHOULD,TARGET 0.1 Hz–1 MHz; upper bound provisional,Frequency sweep model+test,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
EDA-0005,EDA/BioZ,Support a programmable impedance voltage/TIA receive path with saturation reporting.,SHOULD,Input span TBD,Circuit simulation+bench,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
EDA-0006,EDA/BioZ,Provide synchronous I/Q or equivalent magnitude/phase estimation where justified.,SHOULD,Error and resolution TBD,Reference impedance test,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
EDA-0007,EDA/BioZ,Support capacitive on-body/contact sensing with controlled excitation and quality metadata.,SHOULD,Threshold/false alarms TBD,Body/contact emulator test,specs/eda_bioz/,verification/unit/eda_bioz/,NEEDS_DEFINITION,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
EDA-0008,EDA/BioZ,Provide a calibration loopback to separate front-end error from sensor impedance.,SHOULD,Accuracy TBD,Loopback test,specs/eda_bioz/,verification/unit/eda_bioz/,CANDIDATE,Analog impedance,source=MASTER_SPEC.md §8; issue=OI-004
ECH-0001,Electrochemical,Provide configurable electrochemical channels for potentiometric and amperometric use.,SHOULD,TARGET 8 channels,Pin/area/mode analysis,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-007
ECH-0002,Electrochemical,Provide full three-electrode potentiostat paths when supported by selected chemistry.,SHOULD,TARGET ≥4 full WE/RE/CE paths,Architecture+test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-001
ECH-0003,Electrochemical,Support high-impedance potentiometric measurement independently of drive mode.,SHOULD,TARGET all 8 channels if feasible,Input leakage and concurrency test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0004,Electrochemical,Provide ISE voltage-buffer impedance at low frequency with defined test conditions.,SHOULD,TARGET ≥10^12 Ω; prefer ≥10^13 Ω,Pad+buffer leakage simulation/bench,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0005,Electrochemical,Limit potentiometric input bias below electrode error budget.,SHOULD,TARGET pA-class or lower if feasible,Temperature leakage characterization,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0006,Electrochemical,Allow differential potential relative to reference electrode and its allowed common mode.,SHOULD,Voltage span TBD,Cell emulator test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0007,Electrochemical,"Support Na/K/pH/Cl ISE slope, offset and temperature calibration in digital processing.",SHOULD,Two/multi-point calibration,Algorithm+reference test,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0008,Electrochemical,Retain raw electrode mV and calibration identity for independent concentration modeling.,SHOULD,Raw mV and metadata,Data integrity test,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0009,Electrochemical,Measure signed electrochemical current over calibrated ranges.,SHOULD,TARGET ≈100 pA–100 µA,Current-source test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0010,Electrochemical,"Provide programmable TIA ranges, auto-ranging, overload indication and recovery.",SHOULD,Gain/bandwidth TBD,Corner+step response,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0011,Electrochemical,Control working/reference/counter electrode potentials with a precision bias DAC.,SHOULD,Cell bias range TBD,Potentiostat emulator test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-005
ECH-0012,Electrochemical,Support open-circuit potential measurement without cell polarization from the circuit.,SHOULD,Perturbation limit TBD,Open-cell test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0013,Electrochemical,Support bounded waveform primitives for chronoamperometry and voltammetric research.,SHOULD,Waveform amplitude/slew/duration TBD,Digital/analog loopback,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-005
ECH-0014,Electrochemical,Support electrochemical impedance spectroscopy if the electrode and energy budget justify it.,MAY,Frequency/accuracy TBD,Reference cell sweep,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-001
ECH-0015,Electrochemical,Characterize shared reference and multiplexing leakage/polarization and cross-talk.,SHOULD,Shared versus separate TBD,Electrode array emulator test,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0016,Electrochemical,Support per-electrode two-point and multi-point calibration records without hard-coded analog concentration conversion.,SHOULD,Calibration format TBD,Reference electrode datasets,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0017,Electrochemical,"Quantify Nernst slope variation, interfering ions and temperature dependence for the chosen ISE chemistry.",SHOULD,Error budget TBD,Reference solution study,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0018,Electrochemical,Apply independent hardware limits to cell excitation/current under faults or reset.,MUST,Bounds TBD by chemistry and safety review,Fault injection and safety review,specs/electrochem/,verification/unit/electrochem/,NEEDS_DEFINITION,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-005
ECH-0019,Electrochemical,Provide temperature and reference-drift metadata for Na/K calibration.,SHOULD,Calibration precision TBD,Temperature sweep,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-004
ECH-0020,Electrochemical,Expose sweat conductivity/rate auxiliary inputs subject to actual transducer availability.,MAY,Transducer TBD,Sensor interface analysis,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-001
ECH-0021,Electrochemical,Avoid claims of glucose/hormone accuracy without chemistry and human reference validation.,MUST,Research only,Evidence review,specs/electrochem/,verification/unit/electrochem/,RESEARCH_ONLY,Analog electrochemical,source=MASTER_SPEC.md §9; issue=OI-005
OPT-0001,Optical,Support independent programmable optical source outputs if concurrency/pins allow.,SHOULD,TARGET 16 LED current outputs,Pin/area/current trade study,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-007
OPT-0002,Optical,Program calibrated per-source peak current within a hardware envelope.,SHOULD,TARGET 0–150 mA peak; source/package thermal limit TBD,Load test+calibration,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-003
OPT-0003,Optical,Control LED current with stated effective resolution and temperature dependence.,SHOULD,TARGET ≈10–12 effective bits,DAC characterization,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-007
OPT-0004,Optical,"Control source sequencing, phase and pulse width with synchronized receive timing.",SHOULD,TARGET µs-level timing or better,Trigger timing test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-003
OPT-0005,Optical,Detect LED open/short and disable a faulted high-current path.,SHOULD,Threshold TBD,Fault injection,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
OPT-0006,Optical,Provide independent source enables and time-multiplexed wavelengths.,SHOULD,Source simultaneity TBD,Sequence test,specs/optical/,verification/unit/optical/,CANDIDATE,Optical analog,source=MASTER_SPEC.md §10; issue=OI-003
OPT-0007,Optical,Accept multiple PD current inputs with independently defined capacitance and dark current.,SHOULD,TARGET 12 PD inputs,Pin/noise study,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-007
OPT-0008,Optical,Acquire concurrently when optical spatial timing demands it.,SHOULD,TARGET ≥8 simultaneous PD channels,ADC concurrency proof,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-007
OPT-0009,Optical,Provide selectable effective optical input gain or integration span.,SHOULD,TARGET equivalent TIA ≈1 kΩ to >10 MΩ,Gain/noise/linearity test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-004
